page_code,page_number,domain_ID,book_components,part,topic,table_name
pc0120,102,05,本編,行政,人口,居留外国人戸口表1-1
pc0121,103,05,本編,行政,人口,居留外国人戸口表1-1
pc0122,104,05,本編,行政,人口,居留外国人戸口表1-2
pc0123,105,05,本編,行政,人口,居留外国人戸口表1-2
pc0124,106,05,本編,行政,人口,居留外国人職業表1
pc0125,107,05,本編,行政,人口,居留外国人職業表2
pc0126,108,06,本編,行政,財政,区内協議費収支決算1-1
pc0127,109,06,本編,行政,財政,区内協議費収支決算1-1
pc0128,110,06,本編,行政,財政,区内協議費収支決算1-2
pc0129,111,06,本編,行政,財政,区内協議費収支決算1-2
pc0130,112,06,本編,行政,財政,区費歳入決算1-1
pc0131,113,06,本編,行政,財政,区費歳入決算1-1
pc0132,114,06,本編,行政,財政,区費歳入決算1-1
pc0133,115,06,本編,行政,財政,区費歳入決算1-1
pc0134,116,06,本編,行政,財政,区費歳入決算1-1
pc0135,117,06,本編,行政,財政,区費歳入決算1-2
pc0136,118,06,本編,行政,財政,区費歳入決算1-2
pc0137,119,06,本編,行政,財政,区費歳入決算1-2
pc0138,120,06,本編,行政,財政,区費歳入決算1-2
pc0139,121,06,本編,行政,財政,区費歳入決算1-2
pc0140,122,06,本編,行政,財政,区費歳出経常部決算1-1
pc0141,123,06,本編,行政,財政,区費歳出経常部決算1-1
pc0142,124,06,本編,行政,財政,区費歳出経常部決算1-1
pc0143,125,06,本編,行政,財政,区費歳出経常部決算1-1
pc0144,126,06,本編,行政,財政,区費歳出経常部決算1-2
pc0145,127,06,本編,行政,財政,区費歳出経常部決算1-2
pc0146,128,06,本編,行政,財政,区費歳出経常部決算1-2
pc0147,129,06,本編,行政,財政,区費歳出経常部決算1-2
pc0148,130,06,本編,行政,財政,区費歳出臨時部決算1-1
pc0149,131,06,本編,行政,財政,区費歳出臨時部決算1-1
pc0150,132,06,本編,行政,財政,区費歳出臨時部決算1-1
pc0151,133,06,本編,行政,財政,区費歳出臨時部決算1-1
pc0152,134,06,本編,行政,財政,区費歳出臨時部決算1-2
pc0153,135,06,本編,行政,財政,区費歳出臨時部決算1-2
pc0154,136,06,本編,行政,財政,区費歳出臨時部決算1-2
pc0155,137,06,本編,行政,財政,区費歳出臨時部決算1-2
pc0156,138,06,本編,行政,財政,市歳入決算1-1
pc0157,139,06,本編,行政,財政,市歳入決算1-1
pc0158,140,06,本編,行政,財政,市歳入決算1-1
pc0159,141,06,本編,行政,財政,市歳入決算1-1
pc0160,142,06,本編,行政,財政,市歳入決算1-2
pc0161,143,06,本編,行政,財政,市歳入決算1-2
pc0162,144,06,本編,行政,財政,市歳入決算1-2
pc0163,145,06,本編,行政,財政,市歳入決算1-2
pc0164,146,06,本編,行政,財政,市歳入決算2-1
pc0165,147,06,本編,行政,財政,市歳入決算2-1
pc0166,148,06,本編,行政,財政,市歳入決算2-2
pc0167,149,06,本編,行政,財政,市歳入決算2-2
pc0168,150,06,本編,行政,財政,市歳入決算2-3
pc0169,151,06,本編,行政,財政,市歳入決算2-3
pc0170,152,06,本編,行政,財政,市歳入決算3-1
pc0171,153,06,本編,行政,財政,市歳入決算3-1
pc0172,154,06,本編,行政,財政,市歳入決算3-1
pc0173,155,06,本編,行政,財政,市歳入決算3-2
pc0174,156,06,本編,行政,財政,市歳入決算3-2
pc0175,157,06,本編,行政,財政,市歳入決算3-2
pc0176,158,06,本編,行政,財政,市歳入決算3-3
pc0177,159,06,本編,行政,財政,市歳入決算3-3
pc0178,160,06,本編,行政,財政,市歳入決算3-3
pc0179,161,06,本編,行政,財政,市歳入決算3-4
pc0180,162,06,本編,行政,財政,市歳入決算3-4
pc0181,163,06,本編,行政,財政,市歳入決算3-4
pc0182,164,06,本編,行政,財政,市歳入決算3-5
pc0183,165,06,本編,行政,財政,市歳入決算3-5
pc0184,166,06,本編,行政,財政,市歳入決算3-5
pc0185,167,06,本編,行政,財政,市歳入決算4-1
pc0186,168,06,本編,行政,財政,市歳入決算4-1
pc0187,169,06,本編,行政,財政,市歳入決算4-1
pc0188,170,06,本編,行政,財政,市歳入決算4-2
pc0189,171,06,本編,行政,財政,市歳入決算4-2
pc0190,172,06,本編,行政,財政,市歳入決算4-2
pc0191,173,06,本編,行政,財政,市歳入決算4-3
pc0192,174,06,本編,行政,財政,市歳入決算4-3
pc0193,175,06,本編,行政,財政,市歳入決算4-3
pc0194,176,06,本編,行政,財政,市歳出経常部決算1-1
pc0195,177,06,本編,行政,財政,市歳出経常部決算1-1
pc0196,178,06,本編,行政,財政,市歳出経常部決算1-1
pc0197,179,06,本編,行政,財政,市歳出経常部決算1-2
pc0198,180,06,本編,行政,財政,市歳出経常部決算1-2
pc0199,181,06,本編,行政,財政,市歳出経常部決算1-2
pc0200,182,06,本編,行政,財政,市歳出経常部決算1-3
pc0201,183,06,本編,行政,財政,市歳出経常部決算1-3
pc0202,184,06,本編,行政,財政,市歳出経常部決算1-3
pc0203,185,06,本編,行政,財政,市歳出臨時部決算1-1
pc0204,186,06,本編,行政,財政,市歳出臨時部決算1-1
pc0205,187,06,本編,行政,財政,市歳出臨時部決算1-1
pc0206,188,06,本編,行政,財政,市歳出臨時部決算1-2
pc0207,189,06,本編,行政,財政,市歳出臨時部決算1-2
pc0208,190,06,本編,行政,財政,市歳出臨時部決算1-2
pc0209,191,06,本編,行政,財政,市歳出臨時部決算1-3
pc0210,192,06,本編,行政,財政,市歳出臨時部決算1-3
pc0211,193,06,本編,行政,財政,市歳出臨時部決算1-3
pc0212,194,06,本編,行政,財政,市歳出経常部決算2-1
pc0213,195,06,本編,行政,財政,市歳出経常部決算2-1
