"Japanese_calendar","type","sub_type","sub_sub_type","mesurement","unit","value","ID"
"昭和10","貨物","到着","上り","重量","t","･･･","tc0596-D32"
"昭和10","貨物","到着","下り","重量","t","･･･","tc0596-E32"
"昭和10","貨物","合計","","重量","t","･･･","tc0596-F32"
"昭和10","貨物","発送","上り","重量","t","･･･","tc0596-G32"
"昭和10","貨物","発送","下り","重量","t","･･･","tc0596-H32"
"昭和11","人員","乗客","","人数","人","1,390,516","tc0596-A33"
"昭和11","人員","計","","人数","人","2,754,683","tc0596-B33"
"昭和11","人員","降客","","人数","人","1,364,167","tc0596-C33"
"昭和11","貨物","到着","上り","重量","t","･･･","tc0596-D33"
"昭和11","貨物","到着","下り","重量","t","･･･","tc0596-E33"
"昭和11","貨物","合計","","重量","t","･･･","tc0596-F33"
"昭和11","貨物","発送","上り","重量","t","･･･","tc0596-G33"
"昭和11","貨物","発送","下り","重量","t","･･･","tc0596-H33"
"昭和12","人員","乗客","","人数","人","1,402,965","tc0596-A34"
"昭和12","人員","計","","人数","人","2,784,672","tc0596-B34"
"昭和12","人員","降客","","人数","人","1,381,707","tc0596-C34"
"昭和12","貨物","到着","上り","重量","t","･･･","tc0596-D34"
"昭和12","貨物","到着","下り","重量","t","･･･","tc0596-E34"
"昭和12","貨物","合計","","重量","t","･･･","tc0596-F34"
"昭和12","貨物","発送","上り","重量","t","･･･","tc0596-G34"
"昭和12","貨物","発送","下り","重量","t","･･･","tc0596-H34"
"昭和13","人員","乗客","","人数","人","1,423,216","tc0596-A35"
"昭和13","人員","計","","人数","人","2,826,168","tc0596-B35"
"昭和13","人員","降客","","人数","人","1,402,952","tc0596-C35"
"昭和13","貨物","到着","上り","重量","t","･･･","tc0596-D35"
"昭和13","貨物","到着","下り","重量","t","･･･","tc0596-E35"
"昭和13","貨物","合計","","重量","t","･･･","tc0596-F35"
"昭和13","貨物","発送","上り","重量","t","･･･","tc0596-G35"
"昭和13","貨物","発送","下り","重量","t","･･･","tc0596-H35"
"昭和14","人員","乗客","","人数","人","1,303,243","tc0596-A36"
"昭和14","人員","計","","人数","人","2,580,610","tc0596-B36"
"昭和14","人員","降客","","人数","人","1,277,367","tc0596-C36"
"昭和14","貨物","到着","上り","重量","t","･･･","tc0596-D36"
"昭和14","貨物","到着","下り","重量","t","･･･","tc0596-E36"
"昭和14","貨物","合計","","重量","t","･･･","tc0596-F36"
"昭和14","貨物","発送","上り","重量","t","･･･","tc0596-G36"
"昭和14","貨物","発送","下り","重量","t","･･･","tc0596-H36"
"昭和15","人員","乗客","","人数","人","2,205,382","tc0596-A37"
"昭和15","人員","計","","人数","人","4,339,973","tc0596-B37"
"昭和15","人員","降客","","人数","人","2,134,591","tc0596-C37"
"昭和15","貨物","到着","上り","重量","t","･･･","tc0596-D37"
"昭和15","貨物","到着","下り","重量","t","･･･","tc0596-E37"
"昭和15","貨物","合計","","重量","t","･･･","tc0596-F37"
"昭和15","貨物","発送","上り","重量","t","･･･","tc0596-G37"
"昭和15","貨物","発送","下り","重量","t","･･･","tc0596-H37"
