"cellId","value","x","y","w","h"
"tc0596-A13","598917","14.389920106524634","43.94002575660013","8.629729249889037","1.5080489375402448"
"tc0596-B13","302533","23.01964935641367","43.94002575660013","8.629729249889037","1.5080489375402448"
"tc0596-C13","296384","31.649378606302708","43.94002575660013","8.629729249889037","1.5080489375402448"
"tc0596-A16","1029725","14.389920106524634","48.46417900837089","8.629729249889037","1.5080489375402448"
"tc0596-B16","525259","23.01964935641367","48.46417900837089","8.629729249889037","1.5080489375402448"
"tc0596-C16","504466","31.649378606302708","48.46417900837089","8.629729249889037","1.5080489375402448"
"tc0596-A18","959275","14.389920106524634","51.480283322601416","8.629729249889037","1.5080489375402448"
"tc0596-B18","486457","23.01964935641367","51.480283322601416","8.629729249889037","1.5080489375402448"
"tc0596-C18","472818","31.649378606302708","51.480283322601416","8.629729249889037","1.5080489375402448"
"tc0596-A27","1766057","14.389920106524634","67.87566001287828","8.629729249889037","1.5080489375402448"
"tc0596-B27","896834","23.01964935641367","67.87566001287828","8.629729249889037","1.5080489375402448"
"tc0596-C27","869223","31.649378606302708","67.87566001287828","8.629729249889037","1.5080489375402448"
"tc0596-A36","2580610","14.389920106524634","82.86998712169994","8.629729249889037","1.5080489375402448"
"tc0596-B36","1303243","23.01964935641367","82.86998712169994","8.629729249889037","1.5080489375402448"
"tc0596-C36","1277367","31.649378606302708","82.86998712169994","8.629729249889037","1.5080489375402448"
"tc0596-H12","182168","75.04466932978251","42.43197037990985","8.295268530847759","1.5080489375402448"
"tc0596-H23","525469","75.04466932978251","61.90784932388924","8.295268530847759","1.5080489375402448"
