table_id,page_number,table_name
TBL-0044,164,市歳入決算3-5(昭和23-38)
TBL-0044,165,市歳入決算3-5(昭和23-38)
TBL-0044,166,市歳入決算3-5(昭和23-38)
TBL-0045,167,市歳入決算4-1(昭和39-55)
TBL-0045,168,市歳入決算4-1(昭和39-55)
TBL-0045,169,市歳入決算4-1(昭和39-55)
TBL-0046,170,市歳入決算4-2(昭和39-55)
TBL-0046,171,市歳入決算4-2(昭和39-55)
TBL-0046,172,市歳入決算4-2(昭和39-55)
TBL-0047,173,市歳入決算4-3(昭和39-55)
TBL-0047,174,市歳入決算4-3(昭和39-55)
TBL-0047,175,市歳入決算4-3(昭和39-55)
TBL-0048,176,市歳出経常部決算1-1(大正11-昭和14)
TBL-0048,177,市歳出経常部決算1-1(大正11-昭和14)
TBL-0048,178,市歳出経常部決算1-1(大正11-昭和14)
TBL-0049,179,市歳出経常部決算1-2(大正11-昭和14)
TBL-0049,180,市歳出経常部決算1-2(大正11-昭和14)
TBL-0049,181,市歳出経常部決算1-2(大正11-昭和14)
TBL-0050,182,市歳出経常部決算1-3(大正11-昭和14)
TBL-0050,183,市歳出経常部決算1-3(大正11-昭和14)
TBL-0050,184,市歳出経常部決算1-3(大正11-昭和14)
TBL-0051,185,市歳出臨時部決算1-1(大正11-昭和14)
TBL-0051,186,市歳出臨時部決算1-1(大正11-昭和14)
TBL-0051,187,市歳出臨時部決算1-1(大正11-昭和14)
TBL-0052,188,市歳出臨時部決算1-2(大正11-昭和14)
TBL-0052,189,市歳出臨時部決算1-2(大正11-昭和14)
TBL-0052,190,市歳出臨時部決算1-2(大正11-昭和14)
TBL-0053,191,市歳出臨時部決算1-3(大正11-昭和14)
TBL-0053,192,市歳出臨時部決算1-3(大正11-昭和14)
TBL-0053,193,市歳出臨時部決算1-3(大正11-昭和14)
TBL-0054,194,市歳出経常部決算2-1(大正15-昭和22)
TBL-0054,195,市歳出経常部決算2-1(大正15-昭和22)
TBL-0055,196,市歳出経常部決算2-2(大正15-昭和22)
TBL-0055,197,市歳出経常部決算2-2(大正15-昭和22)
TBL-0056,198,市歳出経常部決算2-3(大正15-昭和22)
TBL-0056,199,市歳出経常部決算2-3(大正15-昭和22)
TBL-0057,200,市歳出経常部決算2-4(大正15-昭和22)
TBL-0057,201,市歳出経常部決算2-4(大正15-昭和22)
TBL-0058,202,市歳出臨時部決算2-1(大正15-昭和22)
TBL-0058,203,市歳出臨時部決算2-1(大正15-昭和22)
TBL-0059,204,市歳出臨時部決算2-2(大正15-昭和22)
TBL-0059,205,市歳出臨時部決算2-2(大正15-昭和22)
TBL-0060,206,市歳出臨時部決算2-3(大正15-昭和22)
TBL-0060,207,市歳出臨時部決算2-3(大正15-昭和22)
TBL-0061,208,市歳出決算3-1(昭和23-38)
TBL-0061,209,市歳出決算3-1(昭和23-38)
TBL-0061,210,市歳出決算3-1(昭和23-38)
TBL-0062,211,市歳出決算3-2(昭和23-38)
TBL-0062,212,市歳出決算3-2(昭和23-38)
TBL-0062,213,市歳出決算3-2(昭和23-38)
