participant_id,participant_name,status,affiliation,gender,residence
P01,mk,学生,はこだて未来大学,女性,函館市
P02,hs,学生,はこだて未来大学,男性,函館市
P03,kn,教員,はこだて未来大学,女性,函館市
P04,jw,学生,はこだて未来大学,男性,函館市
P05,yt,研究員,ZEN大学,女性,
P06,r1,研究員,,男性,
P07,r2,研究員,,男性,
P08,tu,教員,国立情報学研究所,男性,
P09,ts,研究員,名古屋大学,男性,
P10,sh,研究員,,男性,
P11,jk,研究員,山形大学,男性,
P12,tt,学生,はこだて未来大学,男性,函館市
P13,sk,学生,はこだて未来大学,男性,函館市
P14,kt,教員,はこだて未来大学,男性,函館市
P15,tm,教員,はこだて未来大学,女性,函館市
